Amostra,Acel_X,Acel_Y,Acel_Z,Giro_X,Giro_Y,Giro_Z,Temperatura
1,-1.279,1.502,8.871,-129.237,81.344,87.435,18.98
2,-2.335,8.866,7.132,250.130,-92.282,-235.244,19.17
3,-5.717,-4.960,6.692,-117.336,-59.466,5.954,18.98
4,-7.132,3.245,3.583,-113.198,97.565,-57.450,19.02
5,-2.239,3.997,13.024,-6.008,240.099,-153.679,18.93
6,-2.912,-0.750,10.861,-250.137,-125.466,173.229,18.74
7,-5.897,3.763,6.399,-78.840,59.031,28.519,19.02
8,-7.295,2.740,7.187,-11.382,83.542,-33.870,18.93
9,-6.069,-4.440,5.849,250.130,-29.763,-192.389,19.02
10,-7.834,-3.233,3.870,91.733,-250.137,-20.603,18.98
11,-7.106,0.529,9.882,-250.137,115.214,-32.061,19.31
12,-2.460,5.475,0.235,216.435,-29.786,40.176,19.02
13,-6.455,-2.088,8.251,148.832,-110.176,-90.382,19.26
14,3.973,1.643,19.619,-250.137,110.046,116.840,18.79
15,-3.444,7.892,4.028,97.328,55.924,18.084,18.65
16,-6.558,-4.404,2.666,66.237,-25.939,-35.641,19.02
17,0.541,-12.844,6.340,-250.137,147.870,161.115,18.98
18,-1.226,-1.617,8.387,117.076,-180.641,56.641,19.31
19,-0.563,-6.256,-10.703,57.191,-10.466,0.771,18.98
20,-0.893,-8.064,4.848,-250.137,197.824,161.969,19.02
21,0.948,1.557,9.082,-0.015,8.282,11.145,19.02
22,-0.041,-11.635,2.227,250.130,-86.710,-55.191,19.12
23,0.172,-13.089,-10.952,250.130,-87.206,31.519,18.93
24,12.710,-1.837,-0.108,250.130,250.130,-250.137,18.65
25,6.622,19.619,19.619,-250.137,-37.427,33.794,19.12
26,-0.053,5.825,4.285,105.473,128.328,-7.397,18.93
27,0.805,-8.296,-1.303,-14.366,10.916,-56.313,19.12
28,0.560,-10.272,-2.584,78.153,-185.023,86.916,18.93
29,-3.537,-1.066,4.086,246.634,-73.496,8.672,18.93
30,5.250,-18.801,8.167,250.130,250.130,-197.290,18.65
31,6.864,2.989,0.055,-63.908,38.191,-250.137,18.74
32,1.368,1.878,-2.081,45.664,44.550,-250.137,19.02
33,7.954,-8.960,-4.704,-83.183,-233.740,250.130,19.12
34,2.065,-6.062,3.566,250.130,-8.496,-189.176,19.02
35,0.893,3.755,-10.672,-250.137,-22.412,-7.473,18.93
36,-0.824,-9.084,1.403,-250.137,124.748,28.687,18.79
37,4.579,-7.683,0.089,13.405,-18.969,-158.176,18.93
38,5.837,-4.263,-6.900,250.130,-219.122,-6.878,18.65
39,10.050,-5.269,0.594,-43.092,-0.153,-23.290,18.79
40,-5.068,-9.111,-5.106,-87.298,-92.595,-106.290,18.79
41,6.634,-2.053,1.624,-113.160,64.687,250.130,18.93
42,1.665,-10.186,-19.620,250.130,-71.977,-14.130,18.93
43,11.894,-2.773,1.566,-63.908,-104.115,250.130,18.65
44,-5.403,9.879,-8.639,-250.137,-250.137,183.763,19.02
45,17.912,-8.919,0.148,180.802,250.130,-250.137,19.02
46,5.449,-2.555,11.180,-130.725,250.130,-205.160,18.79
47,0.939,0.386,-7.923,250.130,-244.702,75.672,18.46
48,4.019,10.584,-8.857,-98.527,250.130,193.115,18.46
49,4.076,-15.905,-0.802,-250.137,-157.153,-134.733,18.98
50,0.414,-2.587,7.892,250.130,71.992,-153.031,18.93
51,2.201,3.571,19.619,94.427,170.664,-83.496,18.60
52,2.893,-4.828,6.704,-80.687,-250.137,230.031,18.93
53,4.507,-1.059,12.049,-111.771,-31.748,50.427,18.79
54,6.301,-8.965,0.381,-79.649,135.466,-233.756,18.41
55,15.491,-4.747,7.250,-115.069,37.656,-8.763,18.65
56,11.051,-14.732,11.841,100.656,-250.137,44.221,18.79
57,-5.808,-3.578,3.525,-143.473,34.023,-97.000,18.93
58,10.124,-10.363,10.679,-96.435,250.130,158.733,18.74
59,7.262,-1.566,7.856,-26.412,-91.008,-43.389,18.74
60,11.254,-4.165,12.861,250.130,-90.122,-250.137,19.02
61,-0.314,-2.400,-8.232,122.321,-250.137,-190.420,18.93
62,3.157,-5.252,-0.568,3.573,250.130,-70.458,18.79
63,1.265,-7.520,-1.499,-36.344,33.870,-18.031,18.98
